0 3 6
0 3 9
0 11 11
0 12 10
0 13 10
0 14 7
0 34 11
0 66 12
0 79 12
0 90 10
1 1 8
1 6 8
1 8 7
1 35 8
1 47 13
1 54 12
1 55 11
1 72 11
1 85 9
1 93 8
2 0 9
2 22 11
2 28 13
2 40 9
2 43 10
2 48 10
2 92 10
2 93 8
2 96 11
2 99 13
3 14 14
3 38 10
3 51 11
3 56 10
3 63 7
3 67 10
3 71 11
3 75 6
3 82 11
3 96 11
4 2 11
4 4 13
4 13 12
4 17 10
4 31 9
4 34 9
4 75 13
4 88 12
4 91 9
4 91 14
5 16 9
5 32 9
5 32 10
5 47 12
5 52 12
5 68 10
5 75 11
5 89 10
5 92 11
5 94 9
6 16 12
6 21 10
6 24 10
6 36 14
6 40 9
6 40 10
6 56 11
6 82 12
6 83 9
6 99 10
7 8 14
7 31 9
7 55 8
7 57 11
7 69 8
7 70 10
7 77 12
7 80 9
7 90 9
7 96 9
8 4 10
8 5 7
8 9 12
8 15 7
8 20 9
8 36 11
8 46 8
8 85 6
8 89 8
8 90 8
9 0 9
9 36 10
9 38 11
9 41 12
9 57 10
9 70 12
9 78 12
9 79 8
9 85 11
9 91 10
10 8 13
10 16 12
10 24 10
10 29 12
10 36 12
10 48 9
10 59 10
10 65 7
10 68 8
10 87 9
11 1 7
11 2 10
11 17 7
11 17 11
11 28 8
11 34 9
11 61 6
11 67 10
11 74 8
11 81 10
12 27 13
12 47 9
12 51 9
12 54 7
12 58 13
12 66 12
12 67 10
12 68 10
12 69 10
12 91 14
13 10 12
13 21 12
13 42 9
13 45 10
13 52 14
13 71 11
13 72 9
13 73 13
13 81 8
13 82 10
14 12 12
14 13 8
14 13 14
14 21 12
14 39 10
14 73 9
14 83 8
14 83 10
14 83 11
14 88 13
15 8 9
15 9 10
15 10 11
15 15 11
15 44 10
15 50 9
15 56 10
15 59 10
15 75 8
15 83 11
16 18 9
16 27 9
16 28 9
16 34 7
16 37 12
16 43 9
16 65 9
16 73 11
16 89 7
16 93 7
17 7 9
17 29 9
17 31 9
17 37 9
17 63 8
17 70 12
17 83 10
17 93 7
17 94 9
17 95 10
18 18 11
18 35 7
18 50 12
18 55 7
18 57 8
18 66 13
18 84 9
18 89 8
18 93 7
18 96 11
19 0 7
19 7 9
19 15 12
19 32 7
19 36 11
19 57 10
19 62 10
19 63 8
19 63 11
19 86 10
20 4 8
20 8 8
20 31 11
20 38 10
20 43 13
20 52 7
20 54 7
20 81 9
20 81 10
20 83 10
21 0 8
21 2 8
21 8 11
21 22 12
21 37 11
21 74 11
21 84 11
21 86 8
21 89 11
21 91 11
22 3 9
22 9 10
22 45 11
22 52 11
22 56 11
22 70 11
22 73 10
22 76 10
22 97 10
22 98 13
23 1 10
23 4 11
23 21 10
23 23 8
23 23 13
23 33 9
23 37 9
23 52 11
23 89 13
23 93 12
24 2 12
24 13 9
24 14 11
24 30 10
24 31 8
24 32 11
24 36 11
24 45 12
24 59 8
24 99 11
25 23 8
25 27 11
25 35 6
25 37 9
25 40 8
25 44 13
25 68 11
25 70 10
25 73 12
25 90 12
26 17 9
26 22 12
26 28 7
26 34 8
26 57 12
26 64 10
26 72 8
26 76 9
26 88 12
26 95 8
27 7 9
27 22 13
27 26 14
27 27 11
27 39 11
27 41 8
27 52 13
27 69 10
27 70 6
27 71 11
28 2 10
28 28 11
28 33 9
28 42 13
28 56 13
28 74 13
28 77 10
28 83 9
28 91 13
28 93 13
29 9 10
29 15 12
29 18 14
29 23 11
29 24 7
29 24 11
29 64 10
29 80 7
29 89 9
29 96 10
30 14 11
30 16 9
30 22 12
30 36 9
30 38 8
30 38 9
30 39 11
30 41 8
30 75 7
30 95 10
31 13 12
31 15 12
31 21 11
31 22 8
31 57 9
31 59 9
31 84 11
31 87 10
31 91 12
31 92 12
32 4 7
32 21 8
32 21 11
32 33 12
32 49 10
32 52 10
32 68 8
32 71 7
32 84 11
32 91 12
33 7 6
33 19 10
33 27 7
33 43 11
33 45 7
33 56 12
33 66 10
33 74 13
33 82 11
33 91 10
34 1 12
34 33 13
34 41 8
34 48 10
34 61 8
34 64 9
34 76 11
34 78 13
34 79 12
34 89 9
35 5 7
35 7 9
35 8 11
35 32 11
35 33 10
35 44 14
35 45 10
35 49 9
35 50 9
35 63 7
36 13 10
36 15 7
36 28 7
36 31 7
36 32 10
36 47 10
36 56 11
36 62 8
36 85 9
36 86 10
37 2 12
37 11 12
37 14 11
37 30 10
37 45 12
37 74 12
37 91 12
37 94 11
37 97 9
37 99 11
38 8 7
38 28 7
38 41 9
38 43 9
38 45 11
38 53 12
38 56 11
38 60 10
38 85 7
38 95 14
39 10 9
39 17 13
39 29 8
39 36 10
39 43 7
39 50 9
39 50 10
39 73 11
39 87 13
39 97 10
40 10 9
40 21 11
40 22 9
40 37 11
40 81 10
40 82 10
40 84 11
40 87 10
40 89 9
40 91 12
41 18 9
41 40 12
41 43 10
41 46 10
41 51 10
41 61 12
41 69 8
41 78 10
41 93 13
41 95 8
42 10 13
42 28 10
42 36 11
42 57 13
42 66 9
42 71 10
42 79 9
42 79 13
42 95 11
42 98 11
43 10 8
43 10 12
43 16 13
43 24 10
43 25 10
43 26 12
43 46 10
43 59 12
43 63 9
43 66 10
44 0 11
44 8 8
44 31 8
44 37 7
44 65 11
44 65 14
44 68 8
44 88 10
44 94 8
44 97 10
45 1 11
45 16 7
45 18 10
45 22 10
45 26 11
45 34 14
45 75 6
45 78 8
45 94 7
45 94 10
46 3 10
46 5 12
46 7 8
46 11 13
46 16 7
46 16 13
46 24 9
46 41 9
46 83 8
46 84 10
47 17 14
47 24 7
47 24 8
47 30 9
47 30 13
47 52 10
47 70 11
47 74 7
47 89 13
47 95 13
48 6 6
48 6 10
48 10 10
48 15 9
48 19 11
48 48 11
48 58 11
48 58 13
48 70 8
48 72 9
49 13 7
49 24 6
49 27 9
49 33 14
49 42 10
49 57 10
49 61 11
49 64 10
49 75 11
49 90 10
50 14 10
50 27 14
50 34 8
50 36 14
50 45 9
50 70 11
50 71 10
50 85 8
50 86 10
50 92 9
51 13 9
51 22 10
51 31 13
51 34 10
51 38 10
51 41 9
51 41 10
51 64 11
51 65 14
51 77 10
52 29 8
52 34 10
52 36 13
52 37 10
52 38 10
52 55 10
52 73 9
52 94 9
52 95 11
52 98 12
53 33 8
53 42 12
53 44 12
53 65 11
53 71 8
53 72 7
53 74 8
53 81 10
53 81 12
53 97 13
54 10 9
54 35 13
54 39 6
54 39 10
54 69 9
54 71 9
54 89 6
54 89 10
54 93 11
54 94 11
55 24 10
55 31 12
55 55 10
55 59 10
55 69 11
55 78 11
55 82 10
55 87 12
55 89 11
55 96 9
56 0 11
56 2 8
56 2 13
56 12 11
56 21 6
56 23 10
56 24 10
56 39 11
56 50 11
56 62 12
57 2 11
57 14 12
57 18 13
57 25 9
57 41 11
57 71 11
57 79 10
57 87 10
57 91 8
57 96 9
58 17 8
58 20 11
58 49 14
58 53 6
58 70 12
58 72 9
58 82 10
58 91 10
58 94 8
58 95 14
59 0 6
59 18 7
59 19 11
59 25 8
59 38 6
59 46 13
59 61 9
59 65 8
59 84 10
59 85 6
60 7 10
60 9 8
60 25 11
60 26 10
60 54 9
60 57 13
60 59 7
60 63 8
60 65 10
60 81 10
61 7 9
61 29 10
61 31 9
61 31 12
61 38 14
61 52 9
61 59 14
61 71 9
61 72 8
61 95 12
62 43 9
62 56 10
62 56 11
62 64 8
62 72 12
62 80 8
62 80 9
62 84 13
62 87 11
62 93 7
63 5 11
63 6 10
63 18 11
63 27 10
63 52 12
63 56 9
63 77 10
63 87 7
63 87 10
63 95 10
64 7 13
64 19 9
64 26 8
64 32 8
64 48 10
64 49 11
64 58 10
64 73 10
64 87 9
64 92 12
65 25 12
65 27 11
65 32 8
65 50 6
65 62 8
65 62 12
65 67 10
65 71 6
65 71 12
65 91 7
66 3 8
66 7 14
66 10 8
66 12 8
66 14 11
66 16 11
66 21 9
66 28 12
66 71 10
66 88 11
67 1 11
67 6 13
67 22 10
67 23 9
67 42 8
67 51 12
67 62 10
67 65 10
67 71 7
67 83 7
68 22 11
68 22 13
68 25 13
68 35 11
68 36 11
68 38 10
68 61 9
68 65 9
68 67 10
68 71 10
69 11 8
69 12 7
69 16 11
69 33 10
69 43 7
69 48 11
69 60 10
69 63 9
69 77 14
69 98 11
70 5 10
70 27 8
70 28 9
70 29 9
70 35 12
70 44 11
70 61 10
70 62 13
70 74 10
70 91 10
71 13 14
71 36 12
71 37 11
71 46 9
71 49 12
71 76 14
71 79 12
71 83 10
71 85 8
71 94 9
72 1 8
72 9 8
72 11 12
72 15 7
72 30 8
72 42 10
72 43 12
72 46 13
72 50 11
72 70 14
73 6 13
73 12 10
73 18 7
73 23 8
73 55 8
73 56 10
73 70 9
73 74 9
73 84 10
73 98 11
74 4 9
74 7 7
74 39 11
74 47 11
74 54 9
74 58 11
74 65 9
74 72 7
74 86 10
74 86 11
75 8 11
75 47 8
75 52 13
75 57 12
75 59 7
75 64 6
75 84 10
75 91 10
75 93 12
75 99 11
76 1 10
76 7 9
76 8 11
76 23 12
76 32 11
76 33 8
76 34 7
76 36 13
76 41 13
76 81 11
77 7 8
77 9 13
77 10 10
77 26 10
77 39 12
77 43 9
77 69 8
77 69 11
77 81 10
77 83 11
78 2 11
78 2 12
78 4 7
78 7 11
78 39 8
78 41 10
78 42 7
78 63 7
78 94 12
78 97 11
79 5 13
79 18 8
79 28 10
79 41 13
79 46 10
79 49 6
79 59 6
79 78 8
79 86 10
79 93 8
80 7 9
80 11 8
80 32 7
80 49 8
80 70 7
80 72 7
80 79 9
80 79 12
80 91 8
80 95 9
81 5 10
81 9 14
81 32 6
81 36 10
81 38 7
81 45 9
81 53 11
81 62 7
81 64 11
81 74 11
82 3 10
82 20 8
82 21 10
82 33 11
82 40 10
82 42 11
82 69 8
82 74 7
82 86 11
82 95 9
83 12 9
83 29 9
83 45 10
83 58 13
83 64 8
83 75 11
83 86 12
83 90 9
83 92 8
83 98 10
84 13 11
84 20 11
84 24 10
84 39 14
84 55 10
84 59 10
84 69 11
84 87 12
84 93 13
84 98 10
85 0 10
85 20 11
85 23 9
85 41 12
85 49 8
85 60 12
85 61 12
85 68 11
85 79 9
85 89 11
86 12 12
86 20 8
86 26 12
86 32 13
86 33 12
86 41 9
86 63 12
86 73 10
86 76 12
86 80 10
87 0 10
87 14 11
87 22 8
87 26 8
87 31 13
87 41 9
87 50 12
87 61 11
87 66 13
87 80 11
88 3 9
88 27 13
88 35 7
88 59 10
88 62 9
88 67 12
88 74 6
88 78 10
88 80 6
88 99 12
89 4 11
89 36 9
89 43 6
89 48 7
89 51 11
89 57 10
89 66 14
89 78 8
89 85 11
89 96 13
90 5 12
90 19 10
90 20 10
90 27 10
90 27 13
90 34 11
90 54 9
90 60 10
90 73 14
90 93 14
91 12 11
91 26 8
91 54 10
91 64 11
91 66 8
91 67 9
91 73 8
91 91 11
91 91 13
91 97 13
92 10 6
92 15 7
92 29 12
92 30 7
92 31 11
92 43 13
92 56 12
92 56 13
92 59 13
92 76 10
93 15 6
93 35 9
93 44 14
93 56 13
93 57 10
93 59 10
93 81 6
93 85 10
93 92 12
93 96 8
94 5 9
94 7 9
94 8 11
94 22 9
94 24 8
94 30 11
94 32 11
94 37 14
94 38 10
94 62 9
95 10 7
95 27 9
95 36 12
95 47 7
95 65 8
95 79 14
95 84 8
95 85 10
95 87 12
95 90 7
96 5 9
96 31 8
96 39 14
96 51 8
96 56 8
96 70 10
96 75 11
96 81 11
96 85 11
96 91 10
97 7 6
97 10 9
97 28 10
97 36 9
97 43 11
97 48 11
97 49 10
97 81 10
97 81 12
97 90 13
98 5 9
98 19 8
98 26 10
98 29 9
98 31 8
98 70 10
98 71 7
98 81 11
98 84 11
98 85 11
99 2 10
99 5 12
99 17 12
99 25 9
99 28 7
99 54 11
99 58 6
99 91 9
99 92 9
99 94 7
